Airport Code,Name,Province,Timezone,UTC Offset (hours),Env Canada ID,Latitude (deg),Longitude (deg),Elevation (m),First Year,Last Year
YEG,EDMONTON,ALBERTA,MST,-7.0,50149,53.31,-113.58,723.3,2012,2018
YFB,IQALUIT,NUNAVUT,EST,-5.0,52079,63.76,-68.56,33.5,2014,2018
YFC,FREDERICTON,NEW BRUNSWICK,AST,-4.0,48568,45.87,-66.54,20.7,2010,2018
YHZ,HALIFAX,NOVA SCOTIA,AST,-4.0,50620,44.88,-63.51,145.4,2012,2018
YOW,OTTAWA,ONTARIO,EST,-5.0,49568,45.32,-75.67,114.9,2011,2018
YQB,QUEBEC,QUEBEC,EST,-5.0,51457,46.79,-71.39,74.4,2013,2018
YQR,REGINA,SASKATCHEWAN,CST,-6.0,51441,50.43,-104.67,577.6,2013,2018
YQT,THUNDER BAY,ONTARIO,EST,-5.0,50132,48.37,-89.32,199.3,2012,2018
YUL,MONTREAL,QUEBEC,EST,-5.0,51157,45.47,-73.74,36.0,2013,2018
YVR,VANCOUVER,BRITISH COLUMBIA,PST,-8.0,51442,49.19,-123.18,4.3,2013,2018
YWG,WINNIPEG,MANITOBA,CST,-6.0,51097,49.91,-97.24,238.7,2013,2018
YXE,SASKATOON,SASKATCHEWAN,CST,-6.0,50091,52.17,-106.7,504.1,2012,2018
YXS,PRINCE GEORGE,BRITISH COLUMBIA,PST,-8.0,48370,53.88,-122.68,691.0,2009,2018
YXY,WHITEHORSE,YUKON TERRITORY,PST,-8.0,50842,60.71,-135.07,706.2,2012,2018
YYC,CALGARY,ALBERTA,MST,-7.0,50430,51.12,-114.01,1099.1,2012,2018
YYG,CHARLOTTETOWN,PRINCE EDWARD ISLAND,AST,-4.0,50621,46.29,-63.12,48.5,2012,2018
YYJ,VICTORIA,BRITISH COLUMBIA,PST,-8.0,51337,48.65,-123.43,19.5,2013,2018
YYT,ST. JOHN'S,NEWFOUNDLAND,NST,-3.5,50089,47.62,-52.75,140.5,2012,2018
YYZ,TORONTO,ONTARIO,EST,-5.0,51459,43.68,-79.63,173.4,2013,2018
YZF,YELLOWKNIFE,NORTHWEST TERRITORIES,MST,-7.0,51058,62.46,-114.44,205.7,2013,2018
